Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,Status
Gamkonora,Indonesia,Halmahera-Indonesia,1.38,127.53,1635,Stratovolcano,Historical
Hiri,Indonesia,Halmahera-Indonesia,0.9,127.32,630,Stratovolcano,Holocene
Ibu,Indonesia,Halmahera-Indonesia,1.488,127.63,1325,Stratovolcano,Historical
Jailolo,Indonesia,Halmahera-Indonesia,1.08,127.439,993,Stratovolcano,Holocene
Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,Historical
Mare,Indonesia,Halmahera-Indonesia,0.57,127.4,308,Unknown,Holocene
Moti,Indonesia,Halmahera-Indonesia,0.454,127.411,927,Stratovolcano,Holocene
Tarakan,Indonesia,Halmahera-Indonesia,1.83,127.83,318,Pyroclastic cone,Holocene
Tidore,Indonesia,Halmahera-Indonesia,0.658,127.4,1730,Stratovolcano,Holocene
Tigalalu,Indonesia,Halmahera-Indonesia,0.07,127.42,422,Unknown,Holocene
Tobaru,Indonesia,Halmahera-Indonesia,1.63,127.67,1035,Unknown,Holocene
Todoko-Ranu,Indonesia,Halmahera-Indonesia,1.25,127.47,979,Caldera,Holocene
Haleakala,United States,Hawaiian Is,20.708,-156.25,3055,Shield volcano,Historical
Hualalai,United States,Hawaiian Is,19.692,-155.87,2523,Shield volcano,Historical
Kama'ehuakanaloa,United States,Hawaiian Is,18.92,-155.27,-975,Submarine volcano,Historical
Kilauea,United States,Hawaiian Is,19.421,-155.287,1222,Shield volcano,Historical
Mauna Kea,United States,Hawaiian Is,19.82,-155.47,4205,Shield volcano,Radiocarbon
Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,Historical
Akan,Japan,Hokkaido-Japan,43.384,144.013,1499,Caldera,Historical
Esan,Japan,Hokkaido-Japan,41.805,141.166,618,Stratovolcano,Historical
Hokkaido-Komagatake,Japan,Hokkaido-Japan,42.063,140.677,1131,Stratovolcano,Historical
Kussharo,Japan,Hokkaido-Japan,43.615,144.427,574,Caldera,Tephrochronology
Kuttara,Japan,Hokkaido-Japan,42.491,141.16,549,Stratovolcano,Tephrochronology
Mashu,Japan,Hokkaido-Japan,43.572,144.561,857,Caldera,Radiocarbon
Niseko,Japan,Hokkaido-Japan,42.875,140.659,1308,Stratovolcano,Holocene
Oshima-Oshima,Japan,Hokkaido-Japan,41.51,139.367,732,Stratovolcano,Historical
Rausudake,Japan,Hokkaido-Japan,44.076,145.122,1660,Stratovolcano,Tephrochronology
Rishirizan,Japan,Hokkaido-Japan,45.179,141.242,1721,Stratovolcano,Radiocarbon
Shikaribetsu Group,Japan,Hokkaido-Japan,43.28,143.08,1430,Lava dome,Holocene
Shikotsu,Japan,Hokkaido-Japan,42.688,141.38,1320,Caldera,Historical
Shiretoko-Iozan,Japan,Hokkaido-Japan,44.133,145.161,1562,Stratovolcano,Historical
Taisetsuzan,Japan,Hokkaido-Japan,43.664,142.854,2291,Stratovolcano,Tephrochronology
Tenchozan,Japan,Hokkaido-Japan,44.044,145.086,1046,Crater rows,
Tokachidake,Japan,Hokkaido-Japan,43.418,142.686,2077,Stratovolcano,Historical
Toya,Japan,Hokkaido-Japan,42.544,140.839,733,Stratovolcano,Historical
Yoteizan,Japan,Hokkaido-Japan,42.827,140.812,1888,Stratovolcano,Radiocarbon
"Tigre, Isla del",Honduras,Honduras,13.274,-87.639,774,Stratovolcano,Holocene
Utila Island,Honduras,Honduras,16.1,-86.9,74,Pyroclastic cone,Holocene
"Yojoa, Lago",Honduras,Honduras,14.964,-87.983,1060,Volcanic field,Holocene
"Zacate Grande, Isla",Honduras,Honduras,13.33,-87.63,640,Stratovolcano,Holocene
Abu,Japan,Honshu-Japan,34.5,131.6,641,Shield volcano,Holocene
Adatarayama,Japan,Honshu-Japan,37.647,140.281,1728,Stratovolcano,Historical
Akagisan,Japan,Honshu-Japan,36.56,139.193,1828,Stratovolcano,Historical
Akandanayama,Japan,Honshu-Japan,36.2,137.573,2109,Stratovolcano,
Akita-Komagatake,Japan,Honshu-Japan,39.761,140.799,1637,Stratovolcano,Historical
Akita-Yakeyama,Japan,Honshu-Japan,39.964,140.757,1366,Complex volcano,Historical
Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,Historical
Azumayama,Japan,Honshu-Japan,37.735,140.244,1949,Stratovolcano,Historical
Bandaisan,Japan,Honshu-Japan,37.601,140.072,1816,Stratovolcano,Historical
Chokaisan,Japan,Honshu-Japan,39.099,140.049,2236,Stratovolcano,Historical
Fujisan,Japan,Honshu-Japan,35.361,138.728,3776,Stratovolcano,Historical
Hachimantai,Japan,Honshu-Japan,39.958,140.854,1613,Stratovolcano,Holocene
Hakkodasan,Japan,Honshu-Japan,40.659,140.877,1585,Stratovolcano,Holocene
Hakoneyama,Japan,Honshu-Japan,35.233,139.021,1438,Complex volcano,Radiocarbon
Hakusan,Japan,Honshu-Japan,36.155,136.771,2702,Stratovolcano,Historical
Harunasan,Japan,Honshu-Japan,36.477,138.851,1449,Stratovolcano,Anthropology
Hijiori,Japan,Honshu-Japan,38.599,140.162,552,Caldera,Radiocarbon
Hiuchigatake,Japan,Honshu-Japan,36.955,139.285,2356,Stratovolcano,Historical
Iwakisan,Japan,Honshu-Japan,40.656,140.303,1625,Stratovolcano,Historical
Iwatesan,Japan,Honshu-Japan,39.853,141.001,2038,Complex volcano,Historical
Izu-Tobu,Japan,Honshu-Japan,34.9,139.098,1406,Pyroclastic cone,Historical
Kurikomayama,Japan,Honshu-Japan,38.961,140.788,1627,Stratovolcano,Historical
Kusatsu-Shiranesan,Japan,Honshu-Japan,36.618,138.528,2165,Stratovolcano,Historical
Megata,Japan,Honshu-Japan,39.95,139.73,291,Maar,Tephrochronology
Midagahara,Japan,Honshu-Japan,36.571,137.59,2621,Stratovolcano,Historical
Myokosan,Japan,Honshu-Japan,36.891,138.114,2454,Stratovolcano,Radiocarbon
Nantaisan,Japan,Honshu-Japan,36.765,139.491,2486,Stratovolcano,Holocene
Naruko,Japan,Honshu-Japan,38.729,140.734,470,Caldera,Historical
Nasudake,Japan,Honshu-Japan,37.125,139.963,1915,Stratovolcano,Historical
Niigata-Yakeyama,Japan,Honshu-Japan,36.921,138.036,2400,Lava dome,Historical
Nikko-Shiranesan,Japan,Honshu-Japan,36.799,139.376,2578,Shield volcano,Historical
Norikuradake,Japan,Honshu-Japan,36.106,137.554,3026,Stratovolcano,Radiocarbon
Numazawa,Japan,Honshu-Japan,37.444,139.566,835,Shield volcano,Radiocarbon
Oki-Dogo,Japan,Honshu-Japan,36.176,133.334,151,Shield volcano,Anthropology
Omanago Group,Japan,Honshu-Japan,36.795,139.507,2341,Lava dome,Holocene
Ontakesan,Japan,Honshu-Japan,35.893,137.48,3067,Complex volcano,Historical
Osorezan,Japan,Honshu-Japan,41.279,141.12,878,Stratovolcano,Historical
Sanbesan,Japan,Honshu-Japan,35.141,132.622,1126,Caldera,Radiocarbon
Shiga,Japan,Honshu-Japan,36.688,138.519,2041,Shield volcano,Holocene
Takaharayama,Japan,Honshu-Japan,36.9,139.777,1795,Stratovolcano,Holocene
Towada,Japan,Honshu-Japan,40.51,140.88,1011,Caldera,Historical
Washiba-Kumonotaira,Japan,Honshu-Japan,36.408,137.594,2924,Shield volcano,Tephrochronology
Yakedake,Japan,Honshu-Japan,36.227,137.587,2455,Stratovolcano,Historical
Yokodake,Japan,Honshu-Japan,36.087,138.32,2480,Stratovolcano,Holocene
Zaozan [Zaosan],Japan,Honshu-Japan,38.144,140.44,1841,Complex volcano,Historical
Theistareykir,Iceland,Iceland,65.883,-16.967,563,Shield volcano,Tephrochronology
Kolbeinsey Ridge,Iceland,Iceland-N of,66.67,-18.5,5,Submarine volcano,Historical
Tjornes Fracture Zone,Iceland,Iceland-N of,66.309,-17.118,-75,Submarine volcano,Historical
Askja,Iceland,Iceland-NE,65.033,-16.783,1080,Stratovolcano,Historical
Bardarbunga,Iceland,Iceland-NE,64.633,-17.516,2000,Stratovolcano,Historical
Fremrinamar,Iceland,Iceland-NE,65.416,-16.666,970,Stratovolcano,Tephrochronology
Grimsvotn,Iceland,Iceland-NE,64.416,-17.316,1719,Caldera,Historical
Heidarspordar,Iceland,Iceland-NE,65.583,-16.817,490,Fissure vent,
Krafla,Iceland,Iceland-NE,65.715,-16.728,800,Caldera,Historical
Kverkfjoll,Iceland,Iceland-NE,64.653,-16.647,1930,Stratovolcano,Historical
Lakagigar,Iceland,Iceland-NE,64.42,-17.33,1725,Caldera,Historical
Snaefell,Iceland,Iceland-NE,64.798,-15.56,1833,Stratovolcano,Holocene
Thordarhyrna,Iceland,Iceland-NE,64.267,-17.617,1650,Stratovolcano,
Trollagigar,Iceland,Iceland-NE,64.43,-18.13,1000,Crater rows,Historical
Tungnafellsjokull,Iceland,Iceland-NE,64.75,-17.916,1523,Stratovolcano,Holocene
Eyjafjallajokull,Iceland,Iceland-S,63.633,-19.633,1651,Stratovolcano,Historical
Hekla,Iceland,Iceland-S,63.983,-19.666,1490,Stratovolcano,Historical
Hromundartindur,Iceland,Iceland-S,64.083,-21.333,550,Stratovolcano,Holocene?
Katla,Iceland,Iceland-S,63.633,-19.083,1490,Subglacial volcano,Historical
Krakagiger,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical
Lambafit,Iceland,Iceland-S,64.08,-19.4,550,Crater rows,Historical
Mundafell,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical
Thordarhyrna,Iceland,Iceland-S,62.27,-17.6,1659,Stratovolcano,Historical
Tindfjallajokull,Iceland,Iceland-S,63.783,-19.716,1464,Stratovolcano,Holocene
Torfajokull,Iceland,Iceland-S,63.892,-19.122,1280,Stratovolcano,Historical
Vestmannaeyjar,Iceland,Iceland-S,63.416,-20.266,283,Submarine volcano,Historical
Esjufjoll,Iceland,Iceland-SE,64.25,-16.583,1620,Stratovolcano,Historical
Oraefajokull,Iceland,Iceland-SE,64,-16.65,2010,Stratovolcano,Historical
Brennisteinsfjoll,Iceland,Iceland-SW,63.933,-21.783,610,Crater rows,Historical
Eldey,Iceland,Iceland-SW,63.733,-23,70,Submarine,
Grimsnes,Iceland,Iceland-SW,64.05,-20.883,200,Crater rows,Tephrochronology
Hengill,Iceland,Iceland-SW,64.083,-21.416,803,Crater rows,Radiocarbon
Hofsjokull,Iceland,Iceland-SW,64.833,-18.766,1765,Subglacial volcano,Holocene
Kristnitokugigar,Iceland,Iceland-SW,63.98,-21.42,301,Crater rows,Historical
Krysuvik-Trolladyngja,Iceland,Iceland-SW,63.917,-22.067,360,Crater rows,Historical
Oddnyjarhnjukur-Langjokull,Iceland,Iceland-SW,64.85,-19.7,1100,Stratovolcano,Radiocarbon
Prestahnukur,Iceland,Iceland-SW,64.583,-20.666,1385,Subglacial volcano,Radiocarbon
Reykjanes,Iceland,Iceland-SW,63.817,-22.717,140,Crater rows,Historical
Reykjaneshryggur,Iceland,Iceland-SW,63.67,-23.33,80,Submarine volcanoes,Historical
Helgrindur,Iceland,Iceland-W,64.866,-23.283,986,Pyroclastic cone,Holocene
Ljosufjoll,Iceland,Iceland-W,64.9,-22.483,1063,Fissure vent,Anthropology
Snaefellsjokull,Iceland,Iceland-W,64.8,-23.783,1446,Stratovolcano,Radiocarbon
"Est, Ile de l'",French Southern & Antarctic Lands,Indian O-S,-46.43,52.2,1090,Stratovolcano,Holocene
Kerguelen Islands,French Southern & Antarctic Lands,Indian O-S,-49.58,69.5,1840,Stratovolcano,Holocene
Heard,Heard I. & McDonald Is.,Indian O-S,-53.106,73.513,2745,Stratovolcano,Historical
Amsterdam Island,Indian Ocean,Indian O-S,-37.83,77.52,881,Stratovolcano,Holocene
"Cochons, Ile Aux",Indian Ocean,Indian O-S,-46.1,50.23,775,Stratovolcano,Holocene
McDonald Islands,Indian Ocean,Indian O-S,-53.03,72.6,230,Complex volcano,Historical
"Possession, Ile de la",Indian Ocean,Indian O-S,-46.42,51.75,934,Stratovolcano,Holocene
Prince Edward Island,Indian Ocean,Indian O-S,-46.63,37.95,672,Shield volcano,Holocene
St. Paul,Indian Ocean,Indian O-S,-38.72,77.53,268,Stratovolcano,Historical
Marion Island,South Africa,Indian O-S,-46.9,37.75,1230,Shield volcano,Historical
"Grille, La",Comoros,Indian O-W,-11.47,43.33,1087,Shield volcano,Holocene
Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical
Mayotte,France,Indian O-W,-12.83,45.17,660,Shield,
"Fournaise, Piton de la",Reunion,Indian O-W,-21.244,55.708,2632,Shield volcano,Historical
Boomerang Seamount,Antarctica,Indian O.-S,-37.721,77.825,-650,Submarine volcano,Historical
Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,Historical
Bazman,Iran,Iran,28.07,60,3490,Stratovolcano,Fumarolic
Damavand,Iran,Iran,35.951,52.109,5670,Stratovolcano,Holocene
Kuh-e Nader,Iran,Iran,28.17,60.67,1500,Volcanic field,Holocene
Sabalan,Iran,Iran,38.268,47.835,4784,Stratovolcano,Holocene
Sahand,Iran,Iran,37.75,46.43,3707,Stratovolcano,Holocene
Taftan,Iran,Iran,28.6,61.13,3940,Stratovolcano,Holocene
Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,Historical
Campi Flegrei del Mar di Sicilia,Italy,Italy,37.1,12.7,-8,Submarine volcanoes,Historical
Colli Albani,Italy,Italy,41.73,12.7,949,Caldera,Holocene
Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,Historical
Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,Historical
Larderello,Italy,Italy,43.25,10.87,500,Explosion crater,Historical
Lipari,Italy,Italy,38.49,14.933,590,Stratovolcanoes,Radiocarbon
Palinuro,Italy,Italy,39.48,14.83,-70,Submarine volcano,Radiocarbon
Panarea,Italy,Italy,38.638,15.064,399,Stratovolcano,Historical
Pantelleria,Italy,Italy,36.77,12.02,836,Shield volcano,Historical
Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,Historical
Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical
Vulcano,Italy,Italy,38.404,14.962,500,Stratovolcano,Historical
Vulsini,Italy,Italy,42.6,11.93,800,Caldera,Historical
Aogashima,Japan,Izu Is-Japan,32.458,139.759,423,Stratovolcano,Historical
Doyo Seamount,Japan,Izu Is-Japan,27.68,140.8,-590,Submarine volcano,Fumarolic
Hachijojima,Japan,Izu Is-Japan,33.137,139.766,854,Stratovolcano,Historical
Izu-Oshima,Japan,Izu Is-Japan,34.724,139.394,746,Stratovolcano,Historical
Izu-Torishima,Japan,Izu Is-Japan,30.484,140.303,394,Stratovolcano,Historical
Kita-Bayonnaise,Japan,Izu Is-Japan,32.1,139.85,-360,Submarine volcano,Holocene
Kozushima,Japan,Izu Is-Japan,34.219,139.153,572,Lava dome,Historical
Kurose Hole,Japan,Izu Is-Japan,33.4,139.68,-107,Submarine volcano,Holocene?
Mikurajima,Japan,Izu Is-Japan,33.874,139.602,851,Submarine volcano,Holocene
Miyakejima,Japan,Izu Is-Japan,34.094,139.526,775,Stratovolcano,Historical
Mokuyo Seamount,Japan,Izu Is-Japan,28.327,140.572,-933,Submarine volcano,Fumarolic
Myojinsho,Japan,Izu Is-Japan,31.888,139.918,11,Submarine volcano,Historical
Niijima,Japan,Izu Is-Japan,34.397,139.27,432,Lava dome,Historical
Sofugan,Japan,Izu Is-Japan,29.794,140.342,99,Submarine volcano,Uncertain
Sumisujima,Japan,Izu Is-Japan,31.44,140.051,136,Submarine volcano,Historical
Toshima,Japan,Izu Is-Japan,34.52,139.279,508,Stratovolcano,Holocene
Maruyama,Japan,Japan,43.418,143.031,2013,Lava dome,Historical
Arjuno-Welirang,Indonesia,Java,-7.733,112.575,3343,Stratovolcano,Historical
Baluran,Indonesia,Java,-7.85,114.37,1247,Stratovolcano,Holocene
Ciremai,Indonesia,Java,-6.895,108.408,3039,Stratovolcano,Historical
Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,Historical
Galunggung,Indonesia,Java,-7.25,108.058,2168,Stratovolcano,Historical
Gede-Pangrango,Indonesia,Java,-6.786,106.983,3026,Stratovolcano,Historical
Guntur,Indonesia,Java,-7.143,107.841,2251,Complex volcano,Historical
Ijen,Indonesia,Java,-8.058,114.242,2769,Stratovolcano,Historical
Iyang-Argapura,Indonesia,Java,-7.97,113.57,3088,Complex volcano,Holocene
"Karaha, Kawah",Indonesia,Java,-7.12,108.08,1155,Fumarole field,Fumarolic
Karang,Indonesia,Java,-6.268,106.05,1768,Stratovolcano,Holocene
Kawi-Butak,Indonesia,Java,-7.92,112.45,2651,Stratovolcano,Holocene
Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,Historical
Kendang,Indonesia,Java,-7.245,107.709,2594,Stratovolcano,Holocene
Kiaraberes-Gagak,Indonesia,Java,-6.73,106.65,1511,Stratovolcano,Historical
Lamongan,Indonesia,Java,-7.981,113.341,1641,Stratovolcano,Historical
Lawu,Indonesia,Java,-7.625,111.192,3265,Stratovolcano,Holocene
Lurus,Indonesia,Java,-7.7,113.58,539,Complex volcano,Holocene
Malabar,Indonesia,Java,-7.13,107.65,2343,Stratovolcano,Holocene
Malang Plain,Indonesia,Java,-8.02,112.68,680,Maar,Holocene
Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,Historical
Merbabu,Indonesia,Java,-7.454,110.44,3118,Stratovolcano,Historical
Muria,Indonesia,Java,-6.62,110.88,1625,Stratovolcano,Holocene
Papandayan,Indonesia,Java,-7.32,107.73,2665,Stratovolcano,Historical
Patuha,Indonesia,Java,-7.162,107.4,2422,Stratovolcano,Holocene
Penanggungan,Indonesia,Java,-7.616,112.62,1631,Stratovolcano,Holocene
Perbakti-Gagak,Indonesia,Java,-6.75,106.675,1726,Stratovolcano,Fumarolic
Pulosari,Indonesia,Java,-6.343,105.978,1324,Caldera,Holocene
Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,Historical
Salak,Indonesia,Java,-6.716,106.733,2218,Stratovolcano,Historical
Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,Historical
Slamet,Indonesia,Java,-7.242,109.208,3428,Stratovolcano,Historical
Sumbing,Indonesia,Java,-7.384,110.07,3371,Stratovolcano,Historical
Sundoro,Indonesia,Java,-7.302,109.996,3147,Stratovolcano,Historical
Talagabodas,Indonesia,Java,-7.208,108.07,2201,Stratovolcano,Fumarolic
Tampomas,Indonesia,Java,-6.77,107.95,1684,Stratovolcano,Holocene
Tangkuban Parahu,Indonesia,Java,-6.77,107.6,2084,Stratovolcano,Historical
Telomoyo,Indonesia,Java,-7.362,110.4,1864,Stratovolcano,Holocene
Tengger Caldera,Indonesia,Java,-7.942,112.95,2329,Stratovolcano,Historical
Ungaran,Indonesia,Java,-7.18,110.33,2050,Stratovolcano,Holocene
Wayang-Windu,Indonesia,Java,-7.208,107.63,2182,Lava dome,Fumarolic
Wilis,Indonesia,Java,-7.808,111.758,2563,Stratovolcano,Holocene
Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180,Stratovolcanoes,Historical
Akhtang,Russia,Kamchatka,55.43,158.65,1956,Shield volcano,Holocene
Alney-Chashakondzha,Russia,Kamchatka,56.656,159.647,2570,Stratovolcano,Holocene
Alngey,Russia,Kamchatka,57.702,160.418,1822,Stratovolcano,Holocene
Anaun,Russia,Kamchatka,56.32,158.83,1828,Stratovolcano,Holocene
Asacha,Russia,Kamchatka,52.355,157.827,1910,Pyroclastic cone,Holocene
Avachinsky,Russia,Kamchatka,53.256,158.836,2717,Stratovolcano,Historical
Bakening,Russia,Kamchatka,53.905,158.07,2278,Stratovolcano,Historical
Barkhatnaya Sopka,Russia,Kamchatka,52.802,158.24,874,Lava dome,Tephrochronology
Belenkaya,Russia,Kamchatka,51.75,157.27,892,Stratovolcano,Holocene
Bely,Russia,Kamchatka,57.88,160.53,2080,Shield volcano,Holocene
Bezymianny,Russia,Kamchatka,55.972,160.595,2882,Stratovolcano,Historical
Bliznets,Russia,Kamchatka,56.97,159.78,1244,Stratovolcano,Holocene
Bliznetsy,Russia,Kamchatka,57.35,161.37,265,Lava cone,Radiocarbon
Bolshe-Bannaya,Russia,Kamchatka,52.9,157.78,1200,Lava dome,Holocene
Bolshoi Payalpan,Russia,Kamchatka,55.88,157.78,1906,Shield volcano,Holocene
Bolshoi Semiachik,Russia,Kamchatka,54.32,160.02,1720,Stratovolcano,Radiocarbon
Bolshoi-Kekuknaysky,Russia,Kamchatka,56.483,157.917,1401,Shield volcano,Holocene
Cherny,Russia,Kamchatka,56.82,159.67,1778,Stratovolcano,Holocene
Cherpuk Group,Russia,Kamchatka,55.55,157.47,1868,Pyroclastic cones,Radiocarbon
Diky Greben,Russia,Kamchatka,51.452,156.978,1040,Lava dome,Radiocarbon
Dzenzursky,Russia,Kamchatka,53.637,158.922,2285,Compound volcano,Holocene
Eggella,Russia,Kamchatka,56.57,158.52,1046,Shield volcano,Holocene
Elovsky,Russia,Kamchatka,57.55,160.53,1381,Shield volcano,Holocene
Fedotych,Russia,Kamchatka,57.13,160.4,965,Shield volcano,Holocene
Gamchen,Russia,Kamchatka,54.974,160.703,2539,Complex volcano,Holocene
Geodesistoy,Russia,Kamchatka,56.33,158.67,1170,Shield volcano,Holocene
Golaya,Russia,Kamchatka,52.263,157.787,858,Shield volcano,Holocene
Gorely,Russia,Kamchatka,52.559,158.03,1799,Caldera,Historical
Gorny Institute,Russia,Kamchatka,57.33,160.2,2125,Stratovolcano,Holocene
Ichinsky,Russia,Kamchatka,55.678,157.718,3596,Stratovolcano,Holocene
Iettunup,Russia,Kamchatka,58.4,161.08,1340,Shield volcano,Holocene
Iktunup,Russia,Kamchatka,58.08,160.77,2300,Shield volcano,Holocene
Iliinsky,Russia,Kamchatka,51.498,157.203,1555,Stratovolcano,Historical
Kaileney,Russia,Kamchatka,57.8,160.67,1582,Shield volcano,Holocene
Kambalny,Russia,Kamchatka,51.306,156.875,2116,Stratovolcano,Holocene
Kamen,Russia,Kamchatka,56.02,160.593,4585,Stratovolcano,Holocene
Karymsky,Russia,Kamchatka,54.049,159.443,1513,Stratovolcano,Historical
Kebeney,Russia,Kamchatka,57.1,159.93,1527,Shield volcano,Holocene
Kekurny,Russia,Kamchatka,56.4,158.85,1377,Shield volcano,Holocene
Kell,Russia,Kamchatka,51.65,157.35,900,Stratovolcano,Holocene
Khangar,Russia,Kamchatka,54.761,157.407,1967,Stratovolcano,Radiocarbon
Khodutka,Russia,Kamchatka,52.062,157.711,2039,Stratovolcano,Radiocarbon
Kikhpinych,Russia,Kamchatka,54.489,160.251,1515,Stratovolcano,Radiocarbon
Kinenin,Russia,Kamchatka,57.35,160.97,583,Maar,Radiocarbon
Kizimen,Russia,Kamchatka,55.131,160.32,2334,Stratovolcano,Historical
Klyuchevskoy,Russia,Kamchatka,56.056,160.642,4754,Stratovolcano,Historical
Komarov,Russia,Kamchatka,55.033,160.725,2065,Stratovolcano,Holocene
Koryaksky,Russia,Kamchatka,53.321,158.712,3430,Stratovolcano,Historical
Koshelev,Russia,Kamchatka,51.356,156.753,1822,Stratovolcano,Historical
Kostakan,Russia,Kamchatka,53.83,158.05,1150,Stratovolcano,Tephrochronology
Kozyrevsky,Russia,Kamchatka,55.58,158.38,2016,Shield volcano,Holocene
Krainy,Russia,Kamchatka,56.37,159.03,1554,Shield volcano,Holocene
Krasheninnikov,Russia,Kamchatka,54.596,160.27,1816,Caldera,Radiocarbon
Kronotsky,Russia,Kamchatka,54.753,160.533,3482,Stratovolcano,Historical
Ksudach,Russia,Kamchatka,51.844,157.572,1079,Stratovolcano,Historical
Kulkev,Russia,Kamchatka,56.37,158.37,915,Shield volcano,Holocene
Kurile Lake,Russia,Kamchatka,51.45,157.12,81,Caldera,Radiocarbon
Leutongey,Russia,Kamchatka,57.306,159.827,1318,Shield volcano,Holocene
Maly Payalpan,Russia,Kamchatka,55.82,157.98,1802,Shield volcano,Holocene
Maly Semyachik,Russia,Kamchatka,54.135,159.674,1527,Caldera,Historical
Mashkovtsev,Russia,Kamchatka,51.1,156.72,503,Stratovolcano,Holocene
Mezhdusopochny,Russia,Kamchatka,57.47,160.25,1641,Shield volcano,Holocene
Mutnovsky,Russia,Kamchatka,52.449,158.196,2288,Complex volcano,Historical
Nylgimelkin,Russia,Kamchatka,57.97,160.65,1764,Shield volcano,Holocene
Olkoviy Volcanic Group,Russia,Kamchatka,52.02,157.53,681,Volcanic field,Holocene
Opala,Russia,Kamchatka,52.543,157.339,2439,Caldera,Radiocarbon
Ostanets,Russia,Kamchatka,52.146,157.322,719,Shield volcano,Holocene
Ostry,Russia,Kamchatka,58.18,160.82,2552,Stratovolcano,Holocene
Otdelniy,Russia,Kamchatka,52.221,157.435,814,Shield volcano,Holocene
Ozernoy,Russia,Kamchatka,51.88,157.38,562,Shield volcano,Holocene
Piratkovsky,Russia,Kamchatka,52.113,157.849,1322,Stratovolcano,Holocene
Plosky,Russia,Kamchatka,57.83,160.25,1255,Shield volcano,Holocene
Plosky,Russia,Kamchatka,55.2,158.47,1236,Shield volcano,Holocene
Pogranychny,Russia,Kamchatka,56.85,159.8,1427,Shield volcano,Holocene
Romanovka,Russia,Kamchatka,55.65,158.8,1442,Stratovolcano,Holocene
Schmidt,Russia,Kamchatka,54.92,160.63,2020,Shield volcano,Holocene
Sedanka Lava Field,Russia,Kamchatka,57.317,160.067,1399,Shield volcano,Holocene
Severny,Russia,Kamchatka,58.28,160.87,1936,Shield volcano,Holocene
Sheveluch,Russia,Kamchatka,56.653,161.36,3283,Stratovolcano,Historical
Shisheika,Russia,Kamchatka,57.153,161.09,355,Lava dome,Radiocarbon
Shishel,Russia,Kamchatka,57.45,160.37,2525,Shield volcano,Holocene
Snegovoy,Russia,Kamchatka,58.2,160.97,2169,Shield volcano,Holocene
Snezhniy,Russia,Kamchatka,58.02,160.8,2169,Shield volcano,Holocene
Spokoiny,Russia,Kamchatka,58.13,160.82,2171,Stratovolcano,Radiocarbon
Taunshits,Russia,Kamchatka,54.528,159.804,2301,Stratovolcano,Radiocarbon
Terpuk,Russia,Kamchatka,57.2,159.83,765,Shield volcano,Radiocarbon
Titila,Russia,Kamchatka,57.406,160.108,1523,Shield volcano,Holocene
Tolbachik,Russia,Kamchatka,55.832,160.326,3611,Shield volcano,Historical
Tolmachev Dol,Russia,Kamchatka,52.63,157.58,1021,Cinder cone,Holocene
Tuzovsky,Russia,Kamchatka,57.32,159.967,1516,Shield volcano,Holocene
Udina,Russia,Kamchatka,55.758,160.527,2886,Stratovolcano,Holocene
Uka,Russia,Kamchatka,57.706,160.59,1607,Shield volcano,Holocene
Uksichan,Russia,Kamchatka,56.08,158.38,1692,Shield volcano,Holocene
Ushkovsky,Russia,Kamchatka,56.113,160.509,3943,Compound volcano,Historical
Uzon,Russia,Kamchatka,54.5,159.97,1617,Caldera,Radiocarbon
Veer,Russia,Kamchatka,53.75,158.45,520,Stratovolcano,Radiocarbon
Verkhovoy,Russia,Kamchatka,56.52,159.53,1400,Shield volcano,Holocene
Vilyuchinsky,Russia,Kamchatka,52.7,158.28,2173,Stratovolcano,Tephrochronology
Visokiy,Russia,Kamchatka,52.43,157.93,1234,Shield volcano,Holocene
Voyampolsky,Russia,Kamchatka,58.374,160.631,1103,Shield volcano,Holocene
Vysoky,Russia,Kamchatka,55.064,160.765,2129,Stratovolcano,Holocene
Yavinsky,Russia,Kamchatka,51.533,156.629,646,Cinder cone,Holocene
Zaozerny,Russia,Kamchatka,56.88,159.95,1349,Shield volcano,Holocene
Zavaritsky,Russia,Kamchatka,53.905,158.385,1567,Cinder cones,Radiocarbon
